"IDm","IDw","FormTime","DisTime","AgeGap"
357,708,0.3276445770,0.5170562709,2.9088099319
62,787,0.0595982875,0.5220460062,4.5455045062
43,705,0.4330161000,0.5235742164,2.8836919551
360,619,0.2444816793,0.5255242759,5.0542926311
200,598,0.4951502831,0.5258338055,2.6413013820
123,648,0.1856420647,0.5346997625,-1.0332182659
122,726,0.5233383144,0.5375235890,3.3462722805
122,892,0.1352985729,0.5375235890,2.6994306400
425,644,0.4952527636,0.5477067152,3.5879325968
415,739,0.1428552769,0.5508805983,4.5678874266
64,831,0.2010829225,0.5565629247,4.0680047034
262,968,0.3269217826,0.5589701246,1.6410220466
368,532,0.4322520742,0.5595953293,0.2565633249
119,990,0.1966898162,0.5636132999,4.8142521028
89,886,0.4739302544,0.5732286038,4.6278352997
116,598,0.2135504456,0.5743464826,0.6392316257
91,650,0.1614610318,0.5806710110,1.7704308708
359,610,0.4875418161,0.5930870819,1.9468288226
224,509,0.3315248713,0.5996459183,6.1155919758
245,544,0.3754977076,0.6007510230,4.7139345769
56,708,0.1337148616,0.6049940042,3.6236152264
113,803,0.5435841751,0.6061846665,2.4905640502
169,610,0.1184809072,0.6105286685,2.3028490645
368,982,0.3966040652,0.6115322475,4.6466053134
287,650,0.5175388299,0.6191382125,3.0408156376
153,591,0.5652477745,0.6302620177,2.9724948746
176,559,0.6016843605,0.6339083102,2.0407252420
47,985,0.0313047325,0.6380053349,0.2478625104
39,754,0.2974688870,0.6422820575,4.7116506682
151,695,0.4941963228,0.6493666656,0.0123050535
51,757,0.0280280551,0.6503861264,1.9411971407
459,675,0.0441358849,0.6514737387,-0.1320345488
119,801,0.6378121113,0.6585800706,3.3776971739
328,601,0.2154233109,0.6597505810,4.4047028438
195,692,0.4445013137,0.6649133917,6.0114736825
279,854,0.5338365655,0.6668720902,4.1100866322
185,644,0.0854497837,0.6681595517,4.5824050244
476,601,0.4590799340,0.6690415013,4.4943910771
341,663,0.2751441877,0.6820711675,2.6868811563
379,614,0.4818632343,0.6856194901,2.0263402541
187,814,0.4279376046,0.6877393430,-1.3520318344
353,830,0.1089857095,0.6898367924,2.1097631275
77,951,0.5992207738,0.6924272711,0.4502990813
130,879,0.4729818736,0.6955490526,4.5116439935
397,980,0.3398432099,0.6966242861,1.3543997551
331,737,0.3130838326,0.6977377849,0.1899470678
429,509,0.2063095258,0.6981399497,1.9358540351
473,866,0.3093723038,0.7044989752,2.2440588312
4,835,0.4802142244,0.7085210629,3.2236368561
86,522,0.3149411992,0.7087691176,-0.8068156230
117,746,0.4303106050,0.7135496283,17.5718645591
60,530,0.0662768618,0.7174009668,2.0005726458
460,843,0.3722422441,0.7194802583,3.9878437836
8,575,0.2270866917,0.7226975938,1.0949406404
406,985,0.0350318199,0.7238097498,1.7858265375
266,1000,0.2067642973,0.7246687807,3.7693321141
437,650,0.6107734016,0.7253962380,-0.9185801613
115,540,0.5652682152,0.7331627260,2.8312995595
447,860,0.5001712750,0.7363293011,4.0830520055
372,749,0.6400715095,0.7377532948,4.0151834407
386,846,0.6349894347,0.7405098047,-0.9881756307
15,940,0.2718256591,0.7446708850,1.6410033151
433,604,0.6980593809,0.7473942358,3.2786792185
454,545,0.6415833377,0.7590897383,3.9018185795
316,760,0.1396486589,0.7614481436,-2.3723778266
34,624,0.1822358941,0.7658900764,1.5280959501
65,846,0.0542429135,0.7689907813,2.9198381326
104,994,0.4467583511,0.7692495843,2.7360705148
377,530,0.4600064921,0.7695691140,3.8437020217
206,828,0.1674697623,0.7734829421,6.4139870614
